name,team_long_name,date,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,buildUpPlayPositioningClass,chanceCreationShooting,defencePressure,defenceAggression
Spain LIGA BBVA,Elche CF,2014-09-19 00:00:00,55,47,69,Organised,57,49,51
Spain LIGA BBVA,Elche CF,2015-09-10 00:00:00,51,52,48,Organised,57,49,51
Spain LIGA BBVA,Valencia CF,2010-02-22 00:00:00,30,,30,Free Form,70,55,60
Spain LIGA BBVA,Valencia CF,2011-02-22 00:00:00,41,,40,Organised,64,40,48
Spain LIGA BBVA,Valencia CF,2012-02-22 00:00:00,20,,35,Organised,55,51,38
Spain LIGA BBVA,Valencia CF,2013-09-20 00:00:00,20,,35,Organised,55,51,38
Spain LIGA BBVA,Valencia CF,2014-09-19 00:00:00,30,45,35,Organised,55,51,38
Spain LIGA BBVA,Valencia CF,2015-09-10 00:00:00,35,46,35,Organised,58,49,45
Poland Ekstraklasa,Wisła Kraków,2010-02-22 00:00:00,40,,35,Organised,70,70,70
Poland Ekstraklasa,Wisła Kraków,2011-02-22 00:00:00,67,,48,Organised,67,58,47
Poland Ekstraklasa,Wisła Kraków,2012-02-22 00:00:00,25,,25,Organised,50,60,58
Poland Ekstraklasa,Wisła Kraków,2013-09-20 00:00:00,30,,30,Organised,50,60,58
Poland Ekstraklasa,Wisła Kraków,2014-09-19 00:00:00,47,52,36,Organised,66,60,66
Poland Ekstraklasa,Wisła Kraków,2015-09-10 00:00:00,33,49,37,Free Form,31,62,58
Portugal Liga ZON Sagres,SC Braga,2010-02-22 00:00:00,30,,30,Organised,60,30,30
Portugal Liga ZON Sagres,SC Braga,2011-02-22 00:00:00,30,,30,Organised,60,40,60
Portugal Liga ZON Sagres,SC Braga,2012-02-22 00:00:00,53,,46,Organised,52,23,48
Portugal Liga ZON Sagres,SC Braga,2013-09-20 00:00:00,66,,54,Organised,52,25,56
Portugal Liga ZON Sagres,SC Braga,2014-09-19 00:00:00,53,35,55,Organised,39,25,56
Portugal Liga ZON Sagres,SC Braga,2015-09-10 00:00:00,55,35,55,Organised,39,25,56
England Premier League,Newcastle United,2010-02-22 00:00:00,70,,60,Organised,60,45,65
England Premier League,Newcastle United,2011-02-22 00:00:00,55,,50,Organised,60,45,45
England Premier League,Newcastle United,2012-02-22 00:00:00,54,,54,Organised,48,52,48
England Premier League,Newcastle United,2013-09-20 00:00:00,58,,72,Organised,46,41,39
England Premier League,Newcastle United,2014-09-19 00:00:00,54,33,47,Organised,39,56,54
England Premier League,Newcastle United,2015-09-10 00:00:00,58,45,49,Organised,46,41,39
England Premier League,Manchester United,2010-02-22 00:00:00,70,,45,Organised,65,40,50
England Premier League,Manchester United,2011-02-22 00:00:00,65,,40,Organised,70,45,45
England Premier League,Manchester United,2012-02-22 00:00:00,46,,54,Organised,55,40,50
England Premier League,Manchester United,2013-09-20 00:00:00,46,,38,Organised,37,49,49
England Premier League,Manchester United,2014-09-19 00:00:00,46,34,54,Organised,56,42,41
England Premier League,Manchester United,2015-09-10 00:00:00,38,42,44,Organised,40,54,53
England Premier League,Aston Villa,2010-02-22 00:00:00,70,,59,Organised,50,30,70
England Premier League,Aston Villa,2011-02-22 00:00:00,65,,50,Organised,50,35,45
England Premier League,Aston Villa,2012-02-22 00:00:00,67,,58,Organised,56,43,50
England Premier League,Aston Villa,2013-09-20 00:00:00,63,,59,Organised,34,39,41
England Premier League,Aston Villa,2014-09-19 00:00:00,66,32,72,Organised,56,39,42
England Premier League,Aston Villa,2015-09-10 00:00:00,63,37,54,Organised,38,35,44
Scotland Premier League,Hibernian,2010-02-22 00:00:00,70,,70,Organised,70,60,70
Scotland Premier League,Hibernian,2011-02-22 00:00:00,48,,51,Organised,52,47,47
Scotland Premier League,Hibernian,2012-02-22 00:00:00,55,,44,Organised,44,42,40
Scotland Premier League,Hibernian,2013-09-20 00:00:00,60,,46,Organised,44,47,46
Scotland Premier League,Hibernian,2014-09-19 00:00:00,55,49,44,Organised,49,43,41
France Ligue 1,Montpellier Hérault SC,2010-02-22 00:00:00,35,,35,Organised,70,70,70
France Ligue 1,Montpellier Hérault SC,2011-02-22 00:00:00,50,,50,Organised,50,35,55
France Ligue 1,Montpellier Hérault SC,2012-02-22 00:00:00,52,,47,Organised,52,34,43
France Ligue 1,Montpellier Hérault SC,2013-09-20 00:00:00,52,,47,Organised,52,34,43
France Ligue 1,Montpellier Hérault SC,2014-09-19 00:00:00,52,58,47,Organised,52,53,56
France Ligue 1,Montpellier Hérault SC,2015-09-10 00:00:00,54,43,65,Organised,45,53,56
Switzerland Super League,FC Zürich,2010-02-22 00:00:00,45,,60,Organised,50,50,55
Switzerland Super League,FC Zürich,2011-02-22 00:00:00,48,,56,Organised,55,54,49
Switzerland Super League,FC Zürich,2012-02-22 00:00:00,62,,46,Organised,54,47,43
Switzerland Super League,FC Zürich,2013-09-20 00:00:00,62,,46,Organised,54,47,43
Switzerland Super League,FC Zürich,2014-09-19 00:00:00,62,49,46,Organised,54,47,43
Switzerland Super League,FC Zürich,2015-09-10 00:00:00,62,49,46,Organised,54,47,43
France Ligue 1,ES Troyes AC,2011-02-22 00:00:00,35,,50,Organised,35,45,45
France Ligue 1,ES Troyes AC,2012-02-22 00:00:00,49,,51,Organised,49,43,42
France Ligue 1,ES Troyes AC,2013-09-20 00:00:00,49,,51,Organised,49,43,42
France Ligue 1,ES Troyes AC,2014-09-19 00:00:00,49,48,51,Organised,46,43,42
France Ligue 1,ES Troyes AC,2015-09-10 00:00:00,49,48,51,Organised,46,43,42
Portugal Liga ZON Sagres,Vitória Setúbal,2010-02-22 00:00:00,30,,30,Organised,55,30,30
Portugal Liga ZON Sagres,Vitória Setúbal,2011-02-22 00:00:00,50,,50,Organised,50,35,55
Portugal Liga ZON Sagres,Vitória Setúbal,2012-02-22 00:00:00,56,,42,Organised,52,37,37
Portugal Liga ZON Sagres,Vitória Setúbal,2013-09-20 00:00:00,56,,42,Organised,52,37,37
Portugal Liga ZON Sagres,Vitória Setúbal,2014-09-19 00:00:00,56,49,42,Organised,52,37,37
Portugal Liga ZON Sagres,Vitória Setúbal,2015-09-10 00:00:00,58,49,42,Organised,52,37,37
Netherlands Eredivisie,Feyenoord,2010-02-22 00:00:00,30,,30,Organised,46,30,30
Netherlands Eredivisie,Feyenoord,2011-02-22 00:00:00,47,,53,Free Form,32,48,59
Netherlands Eredivisie,Feyenoord,2012-02-22 00:00:00,38,,34,Organised,50,43,43
Netherlands Eredivisie,Feyenoord,2013-09-20 00:00:00,44,,44,Organised,50,43,43
Netherlands Eredivisie,Feyenoord,2014-09-19 00:00:00,54,40,60,Organised,50,43,43
Netherlands Eredivisie,Feyenoord,2015-09-10 00:00:00,50,33,48,Organised,31,43,46
Italy Serie A,Genoa,2010-02-22 00:00:00,70,,50,Organised,65,40,65
Italy Serie A,Genoa,2011-02-22 00:00:00,65,,35,Organised,50,54,65
Italy Serie A,Genoa,2012-02-22 00:00:00,50,,50,Organised,50,45,45
Italy Serie A,Genoa,2013-09-20 00:00:00,64,,38,Organised,49,46,47
Italy Serie A,Genoa,2014-09-19 00:00:00,64,52,68,Organised,49,23,47
Italy Serie A,Genoa,2015-09-10 00:00:00,64,52,68,Organised,23,27,47
Netherlands Eredivisie,AZ,2010-02-22 00:00:00,55,,45,Organised,60,30,30
Netherlands Eredivisie,AZ,2011-02-22 00:00:00,45,,31,Organised,66,60,50
Netherlands Eredivisie,AZ,2012-02-22 00:00:00,46,,36,Organised,52,60,65
Netherlands Eredivisie,AZ,2013-09-20 00:00:00,62,,40,Organised,52,50,65
Netherlands Eredivisie,AZ,2014-09-19 00:00:00,52,38,46,Organised,52,50,61
Netherlands Eredivisie,AZ,2015-09-10 00:00:00,50,46,58,Organised,50,50,61
Netherlands Eredivisie,SC Heerenveen,2010-02-22 00:00:00,35,,30,Organised,60,30,30
Netherlands Eredivisie,SC Heerenveen,2011-02-22 00:00:00,49,,48,Free Form,52,58,60
Netherlands Eredivisie,SC Heerenveen,2012-02-22 00:00:00,67,,53,Organised,39,45,44
Netherlands Eredivisie,SC Heerenveen,2013-09-20 00:00:00,47,,37,Organised,42,46,44
Netherlands Eredivisie,SC Heerenveen,2014-09-19 00:00:00,53,48,46,Organised,46,46,44
Netherlands Eredivisie,SC Heerenveen,2015-09-10 00:00:00,54,40,56,Organised,44,46,44
Netherlands Eredivisie,RKC Waalwijk,2010-02-22 00:00:00,30,,50,Organised,55,50,45
Netherlands Eredivisie,RKC Waalwijk,2012-02-22 00:00:00,47,,48,Organised,55,41,41
Netherlands Eredivisie,RKC Waalwijk,2013-09-20 00:00:00,47,,48,Organised,55,29,28
Netherlands Eredivisie,RKC Waalwijk,2014-09-19 00:00:00,57,30,55,Organised,55,31,30
Netherlands Eredivisie,Excelsior,2011-02-22 00:00:00,73,,59,Organised,52,25,47
Netherlands Eredivisie,Excelsior,2012-02-22 00:00:00,47,,52,Organised,37,23,30
Netherlands Eredivisie,Excelsior,2015-09-10 00:00:00,53,41,69,Organised,43,29,41
Netherlands Eredivisie,ADO Den Haag,2010-02-22 00:00:00,30,,35,Organised,65,30,30
Netherlands Eredivisie,ADO Den Haag,2011-02-22 00:00:00,53,,53,Organised,66,46,62
Netherlands Eredivisie,ADO Den Haag,2012-02-22 00:00:00,38,,44,Organised,44,50,58
Netherlands Eredivisie,ADO Den Haag,2013-09-20 00:00:00,38,,47,Organised,44,50,58
Netherlands Eredivisie,ADO Den Haag,2014-09-19 00:00:00,58,47,55,Organised,44,57,50
Netherlands Eredivisie,ADO Den Haag,2015-09-10 00:00:00,56,40,66,Organised,38,40,50
Portugal Liga ZON Sagres,Académica de Coimbra,2010-02-22 00:00:00,30,,30,Organised,55,30,30
Portugal Liga ZON Sagres,Académica de Coimbra,2011-02-22 00:00:00,30,,50,Organised,55,30,45
Portugal Liga ZON Sagres,Académica de Coimbra,2012-02-22 00:00:00,45,,44,Organised,60,52,38
Portugal Liga ZON Sagres,Académica de Coimbra,2013-09-20 00:00:00,45,,44,Organised,60,52,38
Portugal Liga ZON Sagres,Académica de Coimbra,2014-09-19 00:00:00,52,53,44,Organised,60,39,38
Portugal Liga ZON Sagres,Académica de Coimbra,2015-09-10 00:00:00,53,53,44,Organised,60,39,38
Portugal Liga ZON Sagres,CD Nacional,2010-02-22 00:00:00,45,,30,Organised,50,30,30
Portugal Liga ZON Sagres,CD Nacional,2011-02-22 00:00:00,47,,30,Organised,50,35,55
Portugal Liga ZON Sagres,CD Nacional,2012-02-22 00:00:00,41,,43,Organised,53,49,50
Portugal Liga ZON Sagres,CD Nacional,2013-09-20 00:00:00,41,,43,Organised,53,49,50
Portugal Liga ZON Sagres,CD Nacional,2014-09-19 00:00:00,41,59,43,Organised,53,42,42
Portugal Liga ZON Sagres,CD Nacional,2015-09-10 00:00:00,65,59,43,Organised,53,42,42
Portugal Liga ZON Sagres,CS Marítimo,2010-02-22 00:00:00,30,,30,Organised,65,30,30
Portugal Liga ZON Sagres,CS Marítimo,2011-02-22 00:00:00,30,,30,Organised,50,49,45
Portugal Liga ZON Sagres,CS Marítimo,2012-02-22 00:00:00,38,,44,Organised,55,38,49
Portugal Liga ZON Sagres,CS Marítimo,2013-09-20 00:00:00,38,,44,Organised,55,38,49
Portugal Liga ZON Sagres,CS Marítimo,2014-09-19 00:00:00,67,49,66,Free Form,55,37,45
Portugal Liga ZON Sagres,CS Marítimo,2015-09-10 00:00:00,61,49,66,Organised,55,38,49
Portugal Liga ZON Sagres,SC Beira Mar,2011-02-22 00:00:00,48,,46,Free Form,57,47,55
Portugal Liga ZON Sagres,SC Beira Mar,2012-02-22 00:00:00,39,,48,Organised,59,37,52
Portugal Liga ZON Sagres,SC Beira Mar,2013-09-20 00:00:00,39,,48,Organised,59,37,52
Spain LIGA BBVA,Villarreal CF,2010-02-22 00:00:00,64,,30,Free Form,70,65,30
Spain LIGA BBVA,Villarreal CF,2011-02-22 00:00:00,42,,41,Free Form,70,50,48
Spain LIGA BBVA,Villarreal CF,2012-02-22 00:00:00,20,,26,Organised,58,51,51
Spain LIGA BBVA,Villarreal CF,2013-09-20 00:00:00,24,,26,Organised,58,51,51
Spain LIGA BBVA,Villarreal CF,2014-09-19 00:00:00,35,42,35,Organised,58,51,51
Spain LIGA BBVA,Villarreal CF,2015-09-10 00:00:00,48,42,36,Free Form,55,47,48
Switzerland Super League,FC Luzern,2010-02-22 00:00:00,45,,60,Organised,60,40,45
Switzerland Super League,FC Luzern,2011-02-22 00:00:00,48,,57,Organised,64,56,45
Switzerland Super League,FC Luzern,2012-02-22 00:00:00,46,,48,Organised,55,48,47
Switzerland Super League,FC Luzern,2013-09-20 00:00:00,46,,48,Organised,55,48,47
Switzerland Super League,FC Luzern,2014-09-19 00:00:00,63,51,51,Organised,66,48,53
Switzerland Super League,FC Luzern,2015-09-10 00:00:00,63,51,51,Organised,66,48,53
England Premier League,Stoke City,2010-02-22 00:00:00,65,,70,Organised,55,35,70
England Premier League,Stoke City,2011-02-22 00:00:00,50,,80,Organised,35,25,65
England Premier League,Stoke City,2012-02-22 00:00:00,75,,75,Organised,55,50,58
England Premier League,Stoke City,2013-09-20 00:00:00,75,,73,Organised,38,32,37
England Premier League,Stoke City,2014-09-19 00:00:00,48,24,55,Organised,37,38,40
England Premier League,Stoke City,2015-09-10 00:00:00,48,41,49,Organised,49,44,37
Switzerland Super League,BSC Young Boys,2010-02-22 00:00:00,55,,55,Organised,60,55,55
Switzerland Super League,BSC Young Boys,2011-02-22 00:00:00,60,,57,Organised,68,48,49
Switzerland Super League,BSC Young Boys,2012-02-22 00:00:00,52,,69,Organised,46,44,34
Switzerland Super League,BSC Young Boys,2013-09-20 00:00:00,52,,69,Organised,46,44,34
Switzerland Super League,BSC Young Boys,2014-09-19 00:00:00,52,56,64,Organised,46,44,34
Switzerland Super League,BSC Young Boys,2015-09-10 00:00:00,52,56,64,Organised,46,44,34
Switzerland Super League,FC Thun,2011-02-22 00:00:00,51,,39,Organised,31,37,34
Switzerland Super League,FC Thun,2012-02-22 00:00:00,58,,35,Organised,66,47,45
Switzerland Super League,FC Thun,2013-09-20 00:00:00,58,,35,Organised,66,47,45
Switzerland Super League,FC Thun,2014-09-19 00:00:00,58,59,35,Organised,66,47,45
Switzerland Super League,FC Thun,2015-09-10 00:00:00,58,59,35,Organised,66,47,45
Switzerland Super League,FC St. Gallen,2010-02-22 00:00:00,35,,60,Organised,55,50,55
Switzerland Super League,FC St. Gallen,2011-02-22 00:00:00,47,,55,Organised,56,49,55
Switzerland Super League,FC St. Gallen,2013-09-20 00:00:00,52,,48,Organised,37,40,41
Switzerland Super League,FC St. Gallen,2014-09-19 00:00:00,52,46,48,Organised,37,40,41
Switzerland Super League,FC St. Gallen,2015-09-10 00:00:00,52,46,48,Organised,37,40,36
Germany 1. Bundesliga,FC Schalke 04,2010-02-22 00:00:00,65,,55,Organised,70,70,45
Germany 1. Bundesliga,FC Schalke 04,2011-02-22 00:00:00,63,,57,Organised,62,37,67
Germany 1. Bundesliga,FC Schalke 04,2012-02-22 00:00:00,50,,36,Organised,56,43,44
Germany 1. Bundesliga,FC Schalke 04,2013-09-20 00:00:00,60,,47,Organised,52,45,58
Germany 1. Bundesliga,FC Schalke 04,2014-09-19 00:00:00,39,54,45,Organised,41,51,51
Germany 1. Bundesliga,FC Schalke 04,2015-09-10 00:00:00,58,43,42,Organised,37,55,59
Switzerland Super League,FC Sion,2010-02-22 00:00:00,35,,60,Organised,60,35,40
Switzerland Super League,FC Sion,2011-02-22 00:00:00,47,,56,Organised,54,41,43
Switzerland Super League,FC Sion,2012-02-22 00:00:00,61,,37,Organised,53,45,43
Switzerland Super League,FC Sion,2013-09-20 00:00:00,61,,37,Organised,53,45,43
Switzerland Super League,FC Sion,2014-09-19 00:00:00,61,57,37,Organised,53,45,47
Switzerland Super League,FC Sion,2015-09-10 00:00:00,61,57,37,Organised,53,45,47
England Premier League,Queens Park Rangers,2010-02-22 00:00:00,70,,70,Organised,70,70,70
England Premier League,Queens Park Rangers,2011-02-22 00:00:00,51,,49,Organised,52,44,43
England Premier League,Queens Park Rangers,2012-02-22 00:00:00,57,,58,Organised,48,42,51
England Premier League,Queens Park Rangers,2013-09-20 00:00:00,58,,54,Organised,54,49,47
England Premier League,Queens Park Rangers,2014-09-19 00:00:00,52,36,53,Organised,54,50,44
England Premier League,Queens Park Rangers,2015-09-10 00:00:00,30,39,61,Organised,60,50,44
Italy Serie A,Parma,2010-02-22 00:00:00,30,,30,Free Form,70,45,30
Italy Serie A,Parma,2011-02-22 00:00:00,50,,30,Organised,65,45,47
Italy Serie A,Parma,2012-02-22 00:00:00,45,,35,Organised,50,45,45
Italy Serie A,Parma,2013-09-20 00:00:00,48,,33,Organised,45,39,43
Italy Serie A,Parma,2014-09-19 00:00:00,48,71,33,Organised,45,54,66
Italy Serie A,Parma,2015-09-10 00:00:00,48,66,33,Organised,45,43,43
England Premier League,Swansea City,2010-02-22 00:00:00,65,,70,Organised,70,70,70
England Premier League,Swansea City,2011-02-22 00:00:00,66,,34,Organised,64,44,47
England Premier League,Swansea City,2012-02-22 00:00:00,26,,24,Organised,57,48,58
England Premier League,Swansea City,2013-09-20 00:00:00,41,,39,Organised,44,52,58
England Premier League,Swansea City,2014-09-19 00:00:00,63,34,34,Organised,36,51,58
England Premier League,Swansea City,2015-09-10 00:00:00,45,44,42,Organised,55,31,47
Belgium Jupiler League,KVC Westerlo,2010-02-22 00:00:00,45,,60,Organised,55,70,70
Belgium Jupiler League,KVC Westerlo,2011-02-22 00:00:00,34,,52,Free Form,53,48,59
Belgium Jupiler League,KVC Westerlo,2012-02-22 00:00:00,52,,50,Organised,32,48,45
Belgium Jupiler League,KVC Westerlo,2015-09-10 00:00:00,52,46,50,Organised,32,48,45
Belgium Jupiler League,SV Zulte-Waregem,2010-02-22 00:00:00,65,,60,Organised,50,70,60
Belgium Jupiler League,SV Zulte-Waregem,2011-02-22 00:00:00,52,,52,Organised,53,46,48
Belgium Jupiler League,SV Zulte-Waregem,2012-02-22 00:00:00,54,,51,Organised,50,44,55
Belgium Jupiler League,SV Zulte-Waregem,2013-09-20 00:00:00,54,,51,Organised,32,44,58
Belgium Jupiler League,SV Zulte-Waregem,2014-09-19 00:00:00,54,42,51,Organised,32,44,58
Belgium Jupiler League,SV Zulte-Waregem,2015-09-10 00:00:00,54,42,51,Organised,32,44,58
Belgium Jupiler League,KSV Roeselare,2010-02-22 00:00:00,65,,60,Organised,40,65,70
Belgium Jupiler League,RAEC Mons,2012-02-22 00:00:00,50,,50,Organised,46,46,45
Belgium Jupiler League,RAEC Mons,2013-09-20 00:00:00,50,,50,Organised,46,46,45
Belgium Jupiler League,RAEC Mons,2014-09-19 00:00:00,55,50,55,Organised,46,46,45
Belgium Jupiler League,Sint-Truidense VV,2010-02-22 00:00:00,50,,50,Organised,50,50,50
Belgium Jupiler League,Sint-Truidense VV,2011-02-22 00:00:00,53,,53,Organised,53,46,46
Belgium Jupiler League,Sint-Truidense VV,2012-02-22 00:00:00,52,,55,Organised,47,32,40
Belgium Jupiler League,Royal Excel Mouscron,2015-09-10 00:00:00,50,50,50,Organised,50,45,45
Belgium Jupiler League,Royal Excel Mouscron,2015-09-10 00:00:00,50,50,50,Organised,50,45,45
Belgium Jupiler League,Sporting Lokeren,2010-02-22 00:00:00,60,,60,Organised,50,65,65
Belgium Jupiler League,Sporting Lokeren,2011-02-22 00:00:00,66,,53,Organised,52,48,58
Belgium Jupiler League,Sporting Lokeren,2012-02-22 00:00:00,67,,52,Organised,50,45,52
Belgium Jupiler League,Sporting Lokeren,2013-09-20 00:00:00,67,,52,Organised,50,45,52
Belgium Jupiler League,Sporting Lokeren,2014-09-19 00:00:00,62,45,52,Organised,62,45,52
Belgium Jupiler League,Sporting Lokeren,2015-09-10 00:00:00,62,45,52,Organised,62,45,52
Belgium Jupiler League,Beerschot AC,2010-02-22 00:00:00,35,,35,Organised,50,70,70
Belgium Jupiler League,Beerschot AC,2011-02-22 00:00:00,47,,37,Organised,67,33,34
Belgium Jupiler League,Beerschot AC,2012-02-22 00:00:00,55,,55,Organised,49,45,46
Belgium Jupiler League,Beerschot AC,2013-09-20 00:00:00,47,,39,Organised,49,45,46
Belgium Jupiler League,KAA Gent,2010-02-22 00:00:00,70,,65,Organised,60,45,50
Belgium Jupiler League,KAA Gent,2011-02-22 00:00:00,55,,55,Organised,56,61,39
Belgium Jupiler League,KAA Gent,2012-02-22 00:00:00,50,,47,Organised,47,48,45
Belgium Jupiler League,KAA Gent,2013-09-20 00:00:00,50,,37,Organised,34,50,53
Belgium Jupiler League,KAA Gent,2014-09-19 00:00:00,50,55,37,Organised,34,55,59
Belgium Jupiler League,KAA Gent,2015-09-10 00:00:00,50,55,37,Organised,34,49,54
Belgium Jupiler League,Lierse SK,2011-02-22 00:00:00,48,,65,Organised,50,46,48
Belgium Jupiler League,Lierse SK,2012-02-22 00:00:00,69,,58,Organised,61,45,49
Belgium Jupiler League,Lierse SK,2013-09-20 00:00:00,69,,58,Organised,61,38,49
Belgium Jupiler League,Lierse SK,2014-09-19 00:00:00,69,44,58,Organised,61,38,49
Belgium Jupiler League,Lierse SK,2015-09-10 00:00:00,69,44,58,Organised,61,38,49
Belgium Jupiler League,KRC Genk,2010-02-22 00:00:00,45,,45,Organised,60,70,65
Belgium Jupiler League,KRC Genk,2011-02-22 00:00:00,66,,52,Organised,51,48,47
Belgium Jupiler League,KRC Genk,2012-02-22 00:00:00,53,,55,Organised,56,47,45
Belgium Jupiler League,KRC Genk,2013-09-20 00:00:00,58,,38,Organised,56,47,45
Belgium Jupiler League,KRC Genk,2014-09-19 00:00:00,58,52,38,Organised,56,47,45
Belgium Jupiler League,KRC Genk,2015-09-10 00:00:00,58,52,38,Organised,56,36,57
Belgium Jupiler League,Sporting Charleroi,2010-02-22 00:00:00,40,,50,Organised,60,70,70
Belgium Jupiler League,Sporting Charleroi,2011-02-22 00:00:00,47,,36,Organised,53,49,58
Belgium Jupiler League,Sporting Charleroi,2013-09-20 00:00:00,60,,53,Organised,48,42,48
Belgium Jupiler League,Sporting Charleroi,2014-09-19 00:00:00,60,47,53,Organised,48,42,48
Belgium Jupiler League,Sporting Charleroi,2015-09-10 00:00:00,60,47,53,Organised,48,39,48
Belgium Jupiler League,Standard de Liège,2010-02-22 00:00:00,53,,40,Organised,65,70,70
Belgium Jupiler League,Standard de Liège,2011-02-22 00:00:00,68,,66,Organised,63,59,47
Belgium Jupiler League,Standard de Liège,2012-02-22 00:00:00,75,,70,Organised,60,45,60
Belgium Jupiler League,Standard de Liège,2013-09-20 00:00:00,54,,62,Organised,60,45,60
Belgium Jupiler League,Standard de Liège,2014-09-19 00:00:00,54,45,62,Organised,60,45,54
Belgium Jupiler League,Standard de Liège,2015-09-10 00:00:00,54,45,62,Organised,60,45,54
Belgium Jupiler League,KSV Cercle Brugge,2010-02-22 00:00:00,45,,35,Organised,55,65,60
Belgium Jupiler League,KSV Cercle Brugge,2011-02-22 00:00:00,50,,50,Free Form,65,60,50
Belgium Jupiler League,KSV Cercle Brugge,2012-02-22 00:00:00,68,,54,Organised,42,59,47
Belgium Jupiler League,KSV Cercle Brugge,2013-09-20 00:00:00,53,,40,Organised,42,59,47
Belgium Jupiler League,KSV Cercle Brugge,2014-09-19 00:00:00,53,49,43,Organised,42,59,47
Belgium Jupiler League,KSV Cercle Brugge,2015-09-10 00:00:00,53,49,43,Organised,42,59,47
Italy Serie A,Bari,2010-02-22 00:00:00,30,,30,Free Form,65,40,30
Italy Serie A,Bari,2011-02-22 00:00:00,65,,35,Free Form,65,55,45
Italy Serie A,Bari,2012-02-22 00:00:00,50,,50,Organised,50,45,45
Italy Serie A,Bari,2013-09-20 00:00:00,55,,57,Organised,60,49,51
Italy Serie A,Bari,2014-09-19 00:00:00,55,40,57,Organised,56,49,51
Italy Serie A,Bari,2015-09-10 00:00:00,52,40,65,Organised,48,50,51
Switzerland Super League,Grasshopper Club Zürich,2010-02-22 00:00:00,30,,50,Organised,55,40,60
Switzerland Super League,Grasshopper Club Zürich,2011-02-22 00:00:00,67,,53,Organised,63,43,48
Switzerland Super League,Grasshopper Club Zürich,2012-02-22 00:00:00,50,,54,Organised,46,36,43
Switzerland Super League,Grasshopper Club Zürich,2013-09-20 00:00:00,50,,54,Organised,46,36,43
Switzerland Super League,Grasshopper Club Zürich,2014-09-19 00:00:00,50,60,54,Organised,46,36,43
